,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
0,1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,36.99,26.27,1750.0,145080,3811251.600000111,532046.749999906,104623.0,3774622.7700002487,192232.3400000053,68601.68000000001,-36628.82999986224,-0.9703971027510074,0.7211400606561897,0.9903892910140435
1,4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,28.99,23.19,1750.0,164038,3804041.2199999536,442773.0899999454,121536.0,3672299.60000013,223310.7200000042,144929.24,-131741.61999982363,-3.5874420485686667,0.7409014984332899,0.9653679830525534
2,17035,PERNOD RICARD USA,8068,Absolut 80 Proof,24.99,18.24,1750.0,187407,3418303.680000034,365628.67999992217,145074.0,3535864.7600001246,266561.29000000714,123780.21999999997,117561.08000009041,3.324818339491194,0.7741119595319278,1.0343916430503006
3,3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,22.99,16.17,1750.0,201682,3261197.94000002,331137.4699999353,134670.0,3073268.3000003374,247445.33000001486,257032.07000000007,-187929.63999968255,-6.114976684582401,0.667734354082169,0.942374046759124
4,3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,29.99,21.89,1750.0,138109,3023206.0099999965,428454.73999992333,99417.0,3117155.830000161,182667.44000000364,257032.07000000007,93949.82000016468,3.013959683887854,0.7198444706717159,1.0310762216300848
5,480,BACARDI USA INC,3858,Grey Goose Vodka,23.99,17.77,750.0,138809,2466635.930000039,352917.20999992744,106580.0,2548893.200000183,83919.91999999946,89286.26999999999,82257.27000014437,3.227176015069539,0.7678176487115389,1.0333479574345383
6,17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,39.99,30.76,1750.0,70783,2177285.0800000825,483305.4999999281,42157.0,1723926.4299998367,77458.0999999883,123780.21999999997,-453358.6500002458,-26.298027694852887,0.5955808598109715,0.7917780018038664
7,3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,17.99,12.94,1750.0,161386,2088334.8399999859,242450.45999995735,112980.0,1988568.1999998097,207588.93000000282,257032.07000000007,-99766.64000017615,-5.017008720152806,0.7000607239785359,0.9522267032617352
8,3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,27.99,20.73,1750.0,91835,1903739.5499999446,399771.599999924,71399.0,2099802.0099997786,131184.4299999923,257032.07000000007,196062.45999983395,9.337187938012052,0.777470463330974,1.102988068929828
9,12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,21.99,16.29,1750.0,108866,1773427.139999997,339241.5799999288,75953.0,1769306.469999773,139550.0199999962,123880.96999999999,-4120.670000224141,-0.23289746972013675,0.697674204985946,0.9976764368226461
10,17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,22.99,16.42,750.0,93205,1530426.1000000215,341575.6199999292,65448.0,1523390.5199997853,51527.37000000514,123780.21999999997,-7035.580000236165,-0.4618369293933348,0.7021940882999839,0.9954028619871054
11,3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,29.99,22.38,1750.0,66942,1498161.9600000305,344375.9399999443,43119.0,1307150.8099998615,79225.17999998889,257032.07000000007,-191011.15000016894,-14.612785956976854,0.6441247647216993,0.8725030036137315
12,480,BACARDI USA INC,2663,Dewars White Label,29.99,21.42,1750.0,69001,1478001.420000022,390902.85999992926,50325.0,1595656.7499998473,92464.92999999128,89286.26999999999,117655.32999982522,7.37347364963276,0.7293372559817973,1.0796043416520016
13,10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,10.99,6.77,750.0,215668,1460072.3599999887,150210.75000001217,159418.0,1759397.9799998852,17920.670000000697,17587.59,299325.6199998965,17.01295689789959,0.7391824470946083,1.2050073874420162
14,9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,48.99,33.81,750.0,42951,1452173.3099999838,519515.1799999305,32830.0,1577833.699999851,25847.450000002224,68054.70000000003,125660.38999986718,7.964108638310809,0.7643593862773859,1.0865326398264878
15,3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,59.99,44.77,1750.0,31596,1414552.9200000092,376769.05999996833,17050.0,1057855.499999948,31329.96999999946,257032.07000000007,-356697.42000006116,-33.71891718671205,0.5396252690213951,0.7478373449612201
16,17035,PERNOD RICARD USA,5364,Kahlua,29.99,23.07,1750.0,60645,1399080.1500000013,395451.4999999298,43437.0,1355093.629999831,79806.0099999891,123780.21999999997,-43986.52000017022,-3.246013340065343,0.7162503091763542,0.968560400202826
17,3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,33.99,21.73,1750.0,64249,1396130.770000004,385545.8699999389,35203.0,1192763.9699998756,64680.35999999003,257032.07000000007,-203366.80000012834,-17.050045534167964,0.5479151426481346,0.8543354216022846
18,3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,39.99,28.88,1750.0,47546,1373128.4800000344,467068.349999929,34043.0,1361855.5699998513,62548.57999999032,257032.07000000007,-11272.910000183154,-0.8277610525310246,0.7160013460648635,0.9917903457947483
19,3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,21.99,16.66,1750.0,79078,1317439.4799999988,120171.16000001099,78290.0,1619199.5999999442,143853.1700000004,257032.07000000007,301760.1199999454,18.63637565127584,0.9900351551632566,1.229050460822645
